#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 352: Blewett Pass, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Blewett Pass (352) 
# Washington  SNOTEL Site - 4240 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 16, 2021 10:48:50 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1982,,,9.3,,,16.8,,,20.8,,,20.8,,,13.0,,,0.0
1983,,,9.0,,,14.6,,,19.1,,,21.0,,,14.0,,,0.0
1984,,,14.2,,,13.6,,,17.3,,,18.1,,,12.8,,,0.0
1985,,,11.2,,,12.4,,,16.1,,,19.8,,,6.8,,,0.0
1986,,,9.2,,,14.3,,,18.3,,,12.4,,,1.3,,,0.0
1987,,,5.9,,,12.3,,,15.7,,,14.4,,,0.0,,,0.0
1988,,,8.8,,,12.3,,,14.2,,,16.3,,,0.0,,,0.0
1989,,,6.4,,,11.5,,,14.5,,,18.6,,,2.1,,,0.0
1990,,,0.8,,,14.5,,,18.7,,,18.5,,,2.1,,,0.0
1991,,,6.0,,,7.8,,,7.3,,,12.2,,,2.1,,,0.0
1992,,,5.7,,,8.2,,,10.5,,,6.4,,,0.0,,,0.0
1993,,,7.7,,,11.2,,,11.2,,,12.5,,,3.3,,,0.0
1994,,,6.3,,,8.3,,,13.2,,,12.8,,,0.3,,,0.0
1995,,,12.7,,,16.8,,,19.3,,,18.8,,,9.7,,,0.0
1996,,,5.4,,,7.3,,,11.9,,,13.2,,,2.8,,,0.0
1997,,,17.4,,,17.9,,,20.9,,,24.2,,,15.4,,,0.0
1998,,,4.6,,,11.6,,,15.2,,,13.4,,,0.5,,,0.0
1999,,,9.2,,,11.8,,,18.2,,,18.7,,,5.8,,,0.0
2000,,17,4.4,,42,9.7,,47,13.6,,34,13.8,,0,0.0,,0,0.0
2001,,23,4.7,,29,6.5,,33,8.7,,19,6.5,,2,0.1,,0,0.0
2002,,27,6.6,,42,10.0,,32,10.4,,36,12.9,,2,0.6,,0,0.0
2003,,27,5.1,,34,9.8,,35,11.2,,17,6.4,,0,0.0,,0,0.0
2004,,26,5.8,,31,8.9,,38,11.6,,15,5.4,,0,0.0,,0,0.0
2005,,7,1.3,,0,0.0,,4,1.2,,6,2.0,,0,0.0,,0,0.0
2006,,26,6.9,,55,15.1,,53,16.9,,43,16.1,,0,2.4,,0,0.0
2007,,38,13.6,,40,18.5,,48,20.7,,12,7.8,,0,0.0,,0,0.0
2008,,34,8.9,,50,15.7,,40,20.3,,37,19.9,,13,8.7,,0,0.0
2009,,27,6.9,,25,7.7,,30,10.5,,36,15.5,,6,2.5,,0,0.0
2010,,24,5.5,,35,10.8,,36,12.8,,22,8.9,,0,0.0,,0,0.0
2011,,29,8.1,,18,7.1,,39,9.5,,32,13.8,,17,8.4,,0,0.0
2012,,24,6.3,,31,11.6,,46,16.3,,44,19.5,,0,0.7,,0,0.0
2013,,27,8.5,,28,10.4,,35,12.2,,11,6.0,,0,0.0,,0,0.0
2014,,6,2.4,,21,4.5,,48,13.1,,27,13.0,,0,0.0,,0,0.0
2015,,15,4.2,,13,4.8,,6,1.9,,0,0.0,,0,0.0,,0,0.0
2016,,35,8.5,,42,14.3,,31,13.1,,23,10.6,,0,0.0,,0,0.0
2017,,21,5.3,,30,8.4,,40,12.8,,34,14.8,,6,2.3,,0,0.0
2018,,23,5.5,,34,10.4,,35,10.9,,22,9.4,,0,0.0,,0,0.0
2019,,25,7.4,,34,11.1,,50,16.2,,27,11.4,,0,0.0,,0,0.0
2020,,10,3.7,,29,10.2,,27,11.7,,19,8.0,,0,0.0,,0,0.0
2021,,23,6.3,,34,10.9,,49,15.0,,,15.0,,,0.5,,,0.0
