#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 478: Fish Lake, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fish Lake (478) 
# Washington  SNOTEL Site - 3430 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 5:46:09 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1980,,,,,,,,,24.6,,,31.5,,,18.2,,,
1981,,,,,,,,,12.3,,,10.6,,,4.3,,,
1982,,,,,,,,,39.3,,,39.8,,,33.2,,,
1983,,,,,,,,,,,,,,,,,,
1984,,,17.6,,,20.1,,,25.1,,,30.8,,,29.2,,,16.3
1985,,,20.3,,,23.0,,,31.0,,,35.5,,,29.6,,,0.0
1986,,,8.6,,,18.6,,,24.6,,,22.6,,,18.0,,,0.0
1987,,,12.3,,,22.1,,,25.3,,,29.3,,,17.8,,,0.0
1988,,,11.6,,,20.6,,,26.6,,,33.8,,,25.9,,,4.8
1989,,,12.0,,,21.8,,,25.5,,,30.4,,,23.8,,,3.9
1990,,,4.5,,,27.7,,,40.4,,,41.0,,,30.7,,,10.0
1991,,,13.2,,,19.4,,,22.2,,,28.3,,,22.8,,,0.0
1992,,,12.6,,,18.4,,,21.0,,,14.8,,,2.2,,,0.0
1993,,,13.3,,,18.8,,,18.8,,,19.8,,,13.0,,,0.0
1994,,,13.4,,,18.9,,,29.7,,,28.8,,,14.1,,,0.0
1995,,,23.0,,,31.6,,,34.4,,,35.0,,,27.1,,,0.0
1996,,,14.6,,,27.1,,,34.6,,,34.5,,,26.5,,,1.6
1997,,,30.5,,,38.6,,,45.0,,,54.6,,,49.0,,,21.5
1998,,,10.6,,,24.8,,,28.3,,,28.4,,,17.9,,,0.0
