#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 515: Harts Pass, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Harts Pass (515) 
# Washington  SNOTEL Site - 6490 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 5:49:07 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1983,,,16.6,,,30.0,,,38.8,,,48.6,,,50.5,,,31.4
1984,,,13.8,,,21.6,,,28.7,,,34.7,,,39.9,,,40.1
1985,,,26.1,,,29.4,,,33.6,,,42.2,,,45.6,,,16.1
1986,,,15.4,,,26.9,,,37.5,,,41.6,,,42.5,,,26.6
1987,,,18.8,,,26.2,,,29.0,,,31.6,,,32.9,,,8.6
1988,,,18.1,,,24.3,,,30.6,,,37.2,,,36.3,,,15.5
1989,,,19.3,,,29.3,,,32.2,,,42.9,,,44.6,,,29.1
1990,,,14.8,,,34.0,,,46.1,,,51.8,,,43.5,,,34.8
1991,,,41.6,,,49.8,,,61.6,,,68.6,,,82.8,,,63.7
1992,,,17.1,,,28.1,,,33.5,,,35.3,,,29.0,,,3.9
1993,,,16.5,,,22.9,,,23.5,,,28.2,,,35.8,,,5.5
1994,,,11.7,,,16.8,,,26.4,,,30.6,,,26.7,,,6.0
1995,,,27.6,,,35.5,,,44.1,,,53.2,,,56.4,,,27.0
1996,,,27.1,,,35.5,,,48.2,,,53.0,,,58.7,,,50.5
1997,,,29.9,,,42.3,,,44.7,,,54.3,,,59.6,,,40.9
1998,,,17.1,,,28.4,,,36.0,,,41.2,,,42.4,,,21.2
1999,,,31.8,,,45.7,,,61.4,,,69.7,,,65.7,,,61.2
2000,,,18.5,,,25.2,,,31.3,,,36.1,,,33.4,,23,22.5
2001,,42,11.1,,53,14.6,,55,17.5,,66,21.5,,67,23.3,,18,3.0
2002,,218,19.8,,106,29.6,,218,38.9,,123,47.9,,114,53.8,,85,39.1
2003,,53,11.8,,74,22.8,,77,25.5,,92,32.8,,86,36.2,,54,27.1
2004,,,19.5,,83,26.0,,76,29.4,,81,34.8,,58,28.7,,15,7.2
2005,,35,9.2,,40,13.0,,40,14.0,,57,16.9,,39,13.8,,0,0.0
2006,,65,13.9,,115,31.1,,105,37.4,,104,44.2,,89,45.4,,49,25.0
2007,,87,28.1,,97,38.2,,109,43.7,,103,49.5,,96,50.0,,56,28.2
2008,,80,19.7,,99,28.4,,98,35.5,,117,41.5,,98,44.2,,48,24.9
2009,,52,12.7,,66,21.4,,70,23.9,,85,31.0,,76,34.0,,44,21.4
2010,,53,15.1,,69,23.5,,67,26.5,,84,32.3,,75,35.8,,65,18.8
2011,,60,22.0,,80,32.8,,110,42.4,,137,57.3,,132,66.1,,105,65.7
2012,,72,19.8,,97,32.6,,105,39.4,,132,52.7,,104,53.5,,71,44.5
2013,,71,25.2,,81,33.1,,91,38.1,,83,43.8,,94,46.4,,53,31.8
2014,,38,12.6,,61,21.5,,104,34.5,,118,47.8,,101,52.1,,57,34.1
2015,,71,23.6,,71,30.3,,78,34.2,,74,37.6,,63,35.0,,7,3.7
2016,,78,28.3,,102,38.0,,109,47.7,,116,58.6,,80,40.0,,29,14.5
2017,,75,23.6,,74,29.1,,104,39.9,,120,53.2,,115,62.3,,65,41.1
2018,,73,24.5,,105,35.9,,110,45.8,,110,53.9,,108,52.4,,40,20.7
2019,,64,20.1,,71,27.8,,79,31.7,,71,35.5,,66,35.3,,17,11.0
2020,,52,12.9,,76,29.4,,97,39.8,,96,45.3,,77,43.3,,29,20.8
2021,,63,22.8,,93,35.1,,119,48.3,,109,53.2,,88,54.2,,53,34.4
