#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 606: Lyman Lake, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lyman Lake (606) 
# Washington  SNOTEL Site - 5980 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 6:10:09 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1979,,,,,,26.4,,,39.7,,,47.5,,,,,,
1980,,,25.6,,,36.3,,,45.4,,,55.3,,,56.5,,,36.9
1981,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,
1984,,,28.0,,,39.4,,,47.8,,,56.5,,,62.6,,,67.5
1985,,,34.6,,,37.3,,,44.4,,,51.2,,,51.9,,,30.2
1986,,,17.6,,,32.3,,,43.3,,,48.0,,,52.2,,,37.7
1987,,,27.1,,,40.4,,,48.2,,,55.6,,,55.5,,,30.0
1988,,,25.1,,,36.5,,,46.1,,,60.7,,,62.4,,,48.5
1989,,,27.1,,,43.1,,,49.0,,,60.1,,,61.7,,,42.0
1990,,,18.4,,,46.3,,,63.3,,,68.1,,,66.6,,,53.9
1991,,,52.1,,,64.9,,,72.2,,,84.3,,,95.6,,,84.4
1992,,,28.8,,,48.2,,,56.7,,,57.3,,,54.5,,,23.6
1993,,,22.4,,,27.8,,,29.3,,,34.6,,,41.4,,,22.8
1994,,,18.0,,,27.1,,,39.9,,,45.8,,,42.2,,,17.5
1995,,,42.1,,,54.2,,,64.1,,,75.1,,,80.7,,,54.1
1996,,,28.1,,,43.1,,,63.0,,,67.1,,,71.1,,,73.0
1997,,,42.9,,,53.4,,,65.2,,,82.0,,,86.9,,,73.9
