#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 681: Park Creek Ridge, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Park Creek Ridge (681) 
# Washington  SNOTEL Site - 4600 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 6:13:19 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1979,,,11.5,,,15.0,,,23.6,,,27.2,,,25.1,,,0.5
1980,,,20.6,,,33.2,,,41.9,,,46.1,,,37.4,,,3.1
1981,,,14.8,,,17.1,,,27.7,,,27.2,,,24.8,,,0.5
1982,,,19.3,,,35.0,,,47.9,,,52.0,,,52.1,,,29.6
1983,,,17.0,,,31.4,,,40.3,,,48.3,,,43.1,,,13.2
1984,,,18.0,,,23.8,,,32.6,,,35.3,,,34.7,,,23.9
1985,,,28.1,,,29.9,,,37.4,,,42.5,,,35.6,,,0.0
1986,,,13.9,,,29.6,,,36.3,,,37.3,,,31.1,,,0.9
1987,,,22.1,,,34.0,,,38.6,,,44.4,,,30.9,,,0.0
1988,,,21.6,,,30.3,,,35.0,,,45.4,,,29.1,,,0.0
1989,,,20.1,,,32.3,,,38.1,,,49.5,,,42.0,,,7.1
1990,,,8.3,,,34.3,,,49.7,,,54.8,,,35.8,,,2.6
1991,,,28.4,,,42.6,,,51.7,,,60.8,,,61.1,,,25.7
1992,,,23.9,,,41.3,,,47.9,,,41.9,,,26.6,,,0.0
1993,,,18.0,,,24.7,,,26.1,,,27.6,,,25.6,,,0.0
1994,,,10.7,,,15.8,,,23.2,,,24.1,,,13.7,,,0.0
1995,,,23.2,,,33.0,,,35.4,,,40.3,,,35.1,,,6.2
1996,,,21.6,,,35.3,,,50.6,,,50.6,,,44.8,,,22.1
