1982 -99.9 25.0 -99.9 43.7 -99.9 52.1 -99.9 61.4 -99.9 68.0 -99.9 55.9
1983 -99.9 21.0 -99.9 27.2 -99.9 37.0 -99.9 45.8 -99.9 46.1 -99.9 26.3
1984 -99.9 25.8 -99.9 29.6 -99.9 36.9 -99.9 44.7 -99.9 51.0 -99.9 50.9
1985 -99.9 31.9 -99.9 33.5 -99.9 39.5 -99.9 43.7 -99.9 44.7 -99.9 34.4
1986 -99.9 13.5 -99.9 23.8 -99.9 33.9 -99.9 36.4 -99.9 37.4 -99.9 24.8
1987 -99.9 11.9 -99.9 20.8 -99.9 25.3 -99.9 30.3 -99.9 27.9 -99.9 9.0
1988 -99.9 18.3 -99.9 28.7 -99.9 35.8 -99.9 49.9 -99.9 50.3 -99.9 35.6
1989 -99.9 27.7 -99.9 48.2 -99.9 55.5 -99.9 70.0 -99.9 66.3 -99.9 53.2
1990 -99.9 5.7 -99.9 31.6 -99.9 52.8 -99.9 61.7 -99.9 57.9 -99.9 47.0
1991 -99.9 28.6 -99.9 41.2 -99.9 49.2 -99.9 58.9 -99.9 66.3 -99.9 56.0
1992 -99.9 19.2 -99.9 33.3 -99.9 38.6 -99.9 41.8 -99.9 40.8 -99.9 5.9
1993 -99.9 20.1 -99.9 26.7 -99.9 28.1 -99.9 34.3 -99.9 46.8 -99.9 2.0
1994 -99.9 12.9 -99.9 20.8 -99.9 31.9 -99.9 37.6 -99.9 36.0 -99.9 19.2
1995 -99.9 34.0 -99.9 47.6 -99.9 41.9 -99.9 47.5 -99.9 51.1 -99.9 35.3
1996 -99.9 19.7 -99.9 36.5 -99.9 46.6 -99.9 52.9 -99.9 57.0 -99.9 46.4
1997 -99.9 45.6 -99.9 64.5 119 78.7 -99.9 97.6 -99.9 103.0 112 81.8
1998 49 15.8 95 32.4 121 42.9 116 52.3 97 50.4 63 36.0
1999 100 37.0 138 48.8 194 67.6 -99.9 76.2 -99.9 78.2 141 79.4
2000 64 21.6 118 27.9 139 35.1 145 48.1 121 52.0 88 30.6
2001 -99.9 10.7 61 15.9 67 19.3 77 25.2 90 29.4 35 12.9
2002 81 25.6 132 41.8 121 47.5 154 60.6 128 65.7 91 45.0
2003 61 16.8 71 27.1 89 34.6 127 48.4 123 53.0 84 42.0
2004 89 24.9 131 42.3 126 49.1 129 58.2 99 54.3 59 31.9
2005 36 10.0 29 10.6 41 13.2 70 20.4 53 21.9 1 1.8
2006 77 22.0 142 45.7 151 55.1 159 58.9 141 62.6 94 48.2
2007 78 26.4 99 38.0 147 49.9 114 54.1 105 56.9 54 26.7
2008 87 21.6 135 38.3 143 53.6 167 65.7 156 71.9 100 55.8
2009 85 20.2 88 38.2 108 43.5 159 61.6 129 65.8 100 58.2
2010 58 19.3 73 27.7 88 32.2 118 41.3 113 51.3 100 53.7
2011 78 22.9 80 31.7 141 41.7 155 57.8 173 64.9 145 67.2
2012 70 20.9 116 40.3 168 58.6 195 75.8 160 78.2 125 70.2
2013 83 24.4 94 32.0 114 40.9 112 49.8 121 56.9 76 41.1
2014 47 15.9 85 29.5 136 50.0 151 64.0 147 71.2 96 53.4
2015 42 12.4 39 15.8 51 18.5 55 21.8 48 21.3 0 0.0
2016 72 22.5 88 31.6 104 40.7 126 57.8 97 47.1 42 21.1
2017 70 18.7 68 24.4 104 35.0 115 46.8 128 59.2 77 38.9
2018 57 18.4 100 32.7 124 45.1 125 50.0 119 56.0 44 23.9
2019 57 16.7 70 24.8 105 34.2 91 38.9 85 42.6 36 18.4
2020 34 11.5 88 31.8 135 55.6 156 67.4 109 65.2 67 38.2
2021 63 19.0 77 27.4 153 48.6 146 55.5 108 48.1 61 32.7
