#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 692: Pigtail Peak, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Pigtail Peak (692) 
# Washington  SNOTEL Site - 5800 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 6:13:59 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1982,,,25.0,,,43.7,,,52.1,,,61.4,,,68.0,,,55.9
1983,,,21.0,,,27.2,,,37.0,,,45.8,,,46.1,,,26.3
1984,,,25.8,,,29.6,,,36.9,,,44.7,,,51.0,,,50.9
1985,,,31.9,,,33.5,,,39.5,,,43.7,,,44.7,,,34.4
1986,,,13.5,,,23.8,,,33.9,,,36.4,,,37.4,,,24.8
1987,,,11.9,,,20.8,,,25.3,,,30.3,,,27.9,,,9.0
1988,,,18.3,,,28.7,,,35.8,,,49.9,,,50.3,,,35.6
1989,,,27.7,,,48.2,,,55.5,,,70.0,,,66.3,,,53.2
1990,,,5.7,,,31.6,,,52.8,,,61.7,,,57.9,,,47.0
1991,,,28.6,,,41.2,,,49.2,,,58.9,,,66.3,,,56.0
1992,,,19.2,,,33.3,,,38.6,,,41.8,,,40.8,,,5.9
1993,,,20.1,,,26.7,,,28.1,,,34.3,,,46.8,,,2.0
1994,,,12.9,,,20.8,,,31.9,,,37.6,,,36.0,,,19.2
1995,,,34.0,,,47.6,,,41.9,,,47.5,,,51.1,,,35.3
1996,,,19.7,,,36.5,,,46.6,,,52.9,,,57.0,,,46.4
1997,,,45.6,,,64.5,,119,78.7,,,97.6,,,103.0,,112,81.8
1998,,49,15.8,,95,32.4,,121,42.9,,116,52.3,,97,50.4,,63,36.0
