#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 702: Potato Hill, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Potato Hill (702) 
# Washington  SNOTEL Site - 4510 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 6:16:05 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1984,,,14.0,,,14.2,,,18.8,,,20.8,,,20.6,,,4.5
1985,,,21.8,,,24.1,,,30.2,,,34.3,,,25.5,,,0.0
1986,,,7.1,,,12.6,,,19.6,,,22.5,,,18.8,,,0.0
1987,,,8.8,,,16.5,,,19.1,,,20.8,,,7.4,,,0.0
1988,,,10.3,,,15.2,,,18.8,,,25.7,,,18.8,,,1.6
1989,,,8.8,,,18.8,,,21.8,,,28.2,,,15.4,,,1.5
1990,,,3.0,,,13.6,,,25.0,,,25.0,,,12.3,,,0.0
1991,,,9.5,,,12.9,,,11.7,,,19.2,,,19.8,,,0.9
1992,,,8.5,,,14.5,,,15.8,,,7.2,,,0.0,,,0.0
1993,,,15.4,,,20.4,,,21.3,,,19.6,,,15.7,,,0.0
1994,,,7.5,,,10.6,,,20.5,,,22.1,,,13.3,,,0.0
1995,,,15.9,,,20.3,,,20.4,,,23.2,,,20.6,,,0.0
1996,,,6.3,,,13.4,,,17.5,,,18.1,,,14.5,,,0.0
1997,,,24.6,,,27.4,,,33.5,,,39.1,,,34.9,,,5.5
1998,,,9.1,,,21.9,,,27.0,,,25.9,,,19.0,,,1.7
1999,,,17.6,,,27.7,,,44.4,,,50.8,,,43.7,,,26.2
2000,,,15.1,,,27.7,,,31.7,,,35.4,,,26.4,,,6.8
2001,,,9.1,,,12.0,,,14.5,,,16.2,,,14.8,,,0.0
2002,,,17.1,,,27.2,,,30.0,,,37.0,,,30.2,,,7.9
2003,,,7.2,,,10.7,,,15.2,,,24.1,,,20.8,,,0.6
2004,,,14.6,,,22.0,,,24.2,,,24.1,,,15.3,,,0.0
2005,,,4.7,,,4.1,,,2.7,,,2.6,,,0.0,,,0.0
2006,,,12.3,,,26.4,,,31.1,,,35.7,,,26.8,,,2.7
2007,,59,17.5,,71,23.3,,99,30.4,,69,29.1,,46,21.4,,0,0.0
2008,,81,17.2,,114,28.4,,103,37.6,,128,45.3,,109,44.5,,47,22.2
2009,,55,11.5,,59,18.2,,77,20.4,,113,30.1,,82,29.0,,23,11.0
2010,,46,12.2,,61,18.5,,66,20.7,,88,27.2,,74,28.1,,46,17.8
2011,,60,15.7,,51,18.0,,104,25.7,,109,37.7,,113,44.9,,77,32.4
2012,,41,10.4,,71,19.0,,102,28.1,,130,43.6,,88,36.8,,39,16.7
2013,,65,16.6,,77,22.6,,87,27.3,,78,30.1,,65,26.2,,14,6.5
2014,,17,6.7,,43,13.1,,80,24.9,,82,31.7,,62,26.4,,4,1.9
2015,,28,7.0,,28,9.7,,28,9.3,,23,7.6,,4,2.0,,0,0.0
2016,,54,15.6,,67,22.2,,71,27.2,,81,31.9,,49,21.2,,0,0.0
2017,,54,12.8,,58,18.1,,82,26.3,,80,32.3,,75,32.6,,23,11.4
2018,,38,10.9,,63,20.4,,87,27.9,,78,33.4,,60,28.3,,0,0.0
2019,,44,13.2,,53,19.5,,91,30.0,,72,33.8,,56,28.3,,0,0.0
2020,,22,8.2,,64,22.7,,83,29.5,,96,34.7,,57,25.8,,3,2.2
