#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 748: Sheep Canyon, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sheep Canyon (748) 
# Washington  SNOTEL Site - 3990 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 6:18:22 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1984,,,19.8,,,18.3,,,29.4,,,37.7,,,48.3,,,33.6
1985,,,33.4,,,34.4,,,45.8,,,55.8,,,48.9,,,33.7
1986,,,13.9,,,17.1,,,7.8,,,4.9,,,5.5,,,0.0
1987,,,9.3,,,25.3,,,27.7,,,28.9,,,12.9,,,0.0
1988,,,6.8,,,14.4,,,19.0,,,39.0,,,31.5,,,2.6
1989,,,22.0,,,39.2,,,46.7,,,65.6,,,52.2,,,27.1
1990,,,1.5,,,20.8,,,42.9,,,48.2,,,24.6,,,0.0
1991,,,18.9,,,17.3,,,19.8,,,31.3,,,29.5,,,6.5
1992,,,9.9,,,13.5,,,9.4,,,0.8,,,0.8,,,0.0
1993,,,25.7,,,34.1,,,35.8,,,32.0,,,18.9,,,0.0
1994,,,8.2,,,11.0,,,25.8,,,30.1,,,24.7,,,0.0
1995,,,22.3,,,25.1,,,20.7,,,22.3,,,19.4,,,0.0
1996,,,4.2,,,11.6,,,9.4,,,8.4,,,5.7,,,0.0
1997,,,23.0,,,22.0,,,30.0,,,41.0,,,34.7,,,4.1
1998,,,8.6,,,23.5,,,36.6,,,34.4,,,29.7,,,12.6
1999,,,15.6,,,38.7,,,68.1,,,77.9,,,79.3,,,68.4
2000,,,18.2,,,40.6,,,43.7,,,51.7,,,44.2,,,26.5
2001,,,10.9,,,13.3,,,17.0,,,19.1,,,20.8,,,0.1
2002,,,21.7,,,33.9,,,39.5,,,51.9,,,44.9,,,28.7
2003,,,10.3,,,2.5,,,8.6,,,14.7,,,16.0,,,0.0
2004,,,15.6,,,19.6,,,29.7,,,33.4,,,27.1,,,6.1
2005,,,5.9,,,2.5,,,4.0,,,5.1,,,1.1,,,0.0
2006,,22,7.6,,84,28.4,,90,33.9,,121,49.4,,100,44.7,,39,18.2
2007,,48,17.6,,69,26.3,,129,39.3,,74,33.8,,61,28.6,,16,8.1
2008,,88,24.0,,143,47.8,,127,59.0,,,73.3,,,79.5,,,65.3
2009,,69,17.2,,67,25.1,,74,29.4,,123,45.9,,109,47.4,,59,27.6
2010,,40,12.5,,38,13.3,,39,14.2,,75,24.7,,79,31.7,,57,24.5
2011,,71,24.0,,54,22.7,,115,35.0,,120,50.2,,146,64.8,,120,60.1
2012,,32,11.0,,61,22.0,,103,32.3,,136,55.6,,106,50.4,,69,34.9
2013,,94,26.4,,106,37.7,,119,45.1,,105,46.1,,93,43.2,,45,23.7
2014,,8,3.4,,34,10.8,,60,22.3,,65,26.6,,58,26.0,,4,2.2
2015,,16,3.6,,3,0.9,,1,0.3,,2,0.5,,0,0.0,,0,0.0
2016,,59,16.7,,57,19.2,,57,22.9,,77,33.2,,46,21.2,,0,0.0
2017,,79,24.8,,81,30.8,,121,42.1,,120,53.7,,120,58.1,,82,41.1
2018,,40,13.2,,68,24.5,,106,33.7,,101,41.7,,97,45.0,,36,18.4
2019,,37,11.4,,40,15.3,,96,28.0,,76,32.2,,60,26.5,,0,0.0
2020,,4,2.0,,58,23.9,,89,32.0,,111,40.4,,70,31.6,,26,12.4
2021,,50,16.8,,56,21.3,,113,39.9,,124,50.9,,90,42.7,,50,24.9
