#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 776: Spencer Meadow, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Spencer Meadow (776) 
# Washington  SNOTEL Site - 3400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 6:19:09 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1983,,,17.0,,,21.1,,,28.7,,,30.2,,,22.6,,,0.0
1984,,,12.3,,,12.4,,,17.6,,,20.7,,,19.6,,,0.0
1985,,,,,,,,,,,,,,,,,,
1986,,,7.5,,,16.3,,,19.3,,,16.1,,,10.2,,,0.0
1987,,,9.1,,,22.5,,,27.7,,,29.1,,,11.5,,,0.0
1988,,,7.5,,,16.6,,,20.0,,,25.8,,,14.5,,,0.0
1989,,,13.8,,,23.5,,,30.0,,,39.7,,,24.3,,,0.0
1990,,,1.7,,,19.8,,,37.6,,,36.8,,,20.2,,,0.0
1991,,,9.4,,,11.4,,,6.6,,,13.3,,,9.8,,,0.0
1992,,,5.0,,,10.4,,,8.2,,,0.2,,,0.3,,,0.0
1993,,,19.9,,,28.9,,,29.0,,,22.6,,,15.5,,,0.0
1994,,,10.3,,,13.0,,,28.8,,,29.5,,,18.4,,,0.0
1995,,,21.5,,,25.4,,,26.1,,,28.1,,,19.2,,,0.0
1996,,,6.6,,,15.9,,,19.6,,,18.3,,,9.1,,,0.0
1997,,,33.7,,,37.8,,,42.2,,,51.7,,,46.1,,,0.3
1998,,,9.2,,,26.6,,,38.9,,,38.3,,,25.5,,,0.0
1999,,,16.3,,,36.4,,,61.9,,,73.2,,,68.6,,,46.6
2000,,,12.4,,,34.6,,,43.7,,,49.9,,,35.6,,,4.2
