#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 788: Stampede Pass, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Stampede Pass (788) 
# Washington  SNOTEL Site - 3850 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 6:20:59 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1983,,,15.0,,,27.0,,,34.1,,,36.3,,,33.0,,,0.0
1984,,,24.7,,,27.2,,,36.4,,,42.7,,,46.8,,,35.4
1985,,,30.2,,,32.9,,,40.6,,,52.3,,,50.0,,,18.6
1986,,,14.3,,,23.1,,,31.1,,,34.6,,,24.3,,,3.2
1987,,,17.3,,,27.7,,,35.7,,,41.0,,,34.2,,,0.0
1988,,,15.1,,,25.1,,,35.0,,,41.8,,,34.2,,,17.5
1989,,,17.3,,,35.5,,,41.4,,,48.8,,,44.1,,,20.1
1990,,,7.8,,,31.8,,,51.0,,,57.5,,,46.0,,,25.1
1991,,,18.7,,,25.9,,,28.5,,,38.4,,,38.6,,,2.8
1992,,,17.1,,,25.9,,,30.0,,,26.1,,,14.4,,,0.0
1993,,,23.7,,,28.4,,,29.5,,,33.1,,,28.3,,,0.0
1994,,,10.5,,,18.6,,,34.4,,,36.5,,,27.3,,,0.0
1995,,,34.4,,,44.4,,,48.5,,,49.9,,,47.5,,,9.0
1996,,,12.9,,,23.1,,,30.3,,,34.8,,,31.8,,,15.0
1997,,,40.1,,,53.2,,,60.5,,,80.4,,,83.8,,,50.8
1998,,,12.4,,,28.5,,,35.6,,,38.8,,,33.8,,,14.2
1999,,,20.7,,,32.6,,,55.1,,,63.0,,,60.5,,,49.6
2000,,,18.1,,,34.2,,,41.4,,,50.5,,,45.8,,,24.7
