#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 804: Surprise Lakes, WA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Surprise Lakes (804) 
# Washington  SNOTEL Site - 4290 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Jun 21, 2021 6:23:01 PM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1980,,,8.0,,,24.6,,,30.2,,,42.8,,,26.7,,,0.0
1981,,,4.3,,,6.3,,,9.5,,,8.3,,,11.9,,,0.0
1982,,,27.7,,,48.4,,,55.0,,,59.6,,,64.4,,,37.2
1983,,,21.5,,,32.7,,,46.4,,,55.7,,,51.8,,,16.6
1984,,,28.7,,,34.2,,,43.9,,,55.7,,,58.0,,,47.0
1985,,,43.0,,,44.8,,,49.3,,,55.1,,,50.2,,,22.0
1986,,,15.5,,,27.1,,,34.9,,,37.7,,,36.7,,,10.7
1987,,,16.5,,,29.9,,,35.2,,,38.5,,,25.3,,,0.0
1988,,,13.5,,,17.1,,,20.8,,,26.7,,,15.4,,,5.5
1989,,,27.0,,,42.0,,,47.0,,,61.3,,,49.4,,,29.0
1990,,,5.8,,,27.5,,,40.0,,,44.4,,,35.3,,,14.2
1991,,,18.6,,,24.6,,,23.2,,,32.3,,,33.6,,,9.5
1992,,,16.0,,,23.7,,,27.4,,,18.6,,,8.0,,,0.0
1993,,,27.2,,,35.0,,,35.9,,,38.2,,,39.7,,,2.3
1994,,,14.1,,,22.6,,,36.7,,,41.5,,,35.1,,,4.0
1995,,,27.4,,,36.3,,,39.5,,,45.3,,,46.3,,,17.0
1996,,,9.0,,,24.2,,,28.8,,,31.0,,,32.8,,,15.6
1997,,,46.3,,,50.4,,,59.4,,,74.3,,,74.2,,,42.8
